,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동,주차면수합
5453,경기도 수원시 장안구 율전동 433-147번지,41111,13200,0,433,147,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 35 (율전동),율천동밤밭문화센터,,,,0,4.11E+11,13201,0,35,,,0,주건축물,1034,516.23,49.93,2172.83,1667.82,161.2979,21,철근콘크리트구조,철근콘크리트구조,3000,제1종근린생활시설,제1종근린생활시설 외 1,10,(철근)콘크리트,스라브,0,0,19.15,4,1,1,0,0,0,2172.83,0,0,0,0,10,357.66,0,0,20070808,20070810,20080930,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,10
5454,경기도 수원시 장안구 율전동 433-164번지,41111,13200,0,433,164,108414650,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-6 (율전동),,,,,0,4.11E+11,13201,0,26,6,,0,주건축물,108,64.36,59.59,251.07,251.07,232.47,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,"단독주택(9가구), 제2종근린생활시설",10,(철근)콘크리트,평스라브,0,9,12,4,0,0,0,0,0,0,0,0,0,0,0,0,1,11.5,20010613,20010707,20011219,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,1
5455,경기도 수원시 장안구 율전동 433-187번지,41111,13200,0,433,187,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-5 (율전동),,,,,0,4.11E+11,13201,0,26,5,,0,주건축물,333,197.95,59.44,834.52,662.57,198.97,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,"제2종근생(고시원), 단독주택(1가구)",10,(철근)콘크리트,경사슬라브,0,1,13.4,4,1,0,0,0,0,834.52,0,0,0,0,1,11.5,5,57.5,20120229,20140228,20150320,2012,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,1,,율천동,6
5456,경기도 수원시 장안구 율전동 437번지,41111,13200,0,437,0,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 38-2 (율전동),,,,,2,4.11E+11,13201,0,38,2,주건축물제1동,0,주건축물,193,115.59,59.89,378.46,378.46,196.09,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"다구구주택, 제2종근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,6,11.55,4,0,1,0,0,0,378.46,0,0,0,0,5,57.5,2,23,20101103,20101110,20110518,2010,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,율천동,7
5457,경기도 수원시 장안구 율전동 438번지,41111,13200,0,438,0,1084112496,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 36-14 (율전동),,,,,0,4.11E+11,13201,0,36,14,,0,주건축물,152,74.04,48.71,203.5,134.64,88.58,11,벽돌구조,연와조,1000,단독주택,단독주택(3가구),10,(철근)콘크리트,스라브,0,3,7.9,2,1,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19930804,19930805,19931127,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,1
5458,경기도 수원시 장안구 율전동 438-1번지,41111,13200,0,438,1,108419652,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 36-16 (율전동),,,,,0,4.11E+11,13201,0,36,16,,0,주건축물,176,87.06,49.47,335.6,230.03,130.7,11,벽돌구조,연와조,1000,단독주택,단독주택(7가구),10,(철근)콘크리트,평스라브,0,7,10.1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19930409,19930427,19941024,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,1
5460,경기도 수원시 장안구 율전동 438-12번지,41111,13200,0,438,12,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-17 (율전동),DASOM,,,,0,4.11E+11,13201,0,26,17,,0,주건축물,189,112.65,59.603174,360.06,360.06,190.50793,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,0,0,13.8,4,0,1,0,0,0,360.06,0,0,0,0,0,0,4,0,20210602,20210707,20220105,2021,3750028,건축과,1101,신축허가,16,,0,0,,0,,0,20220909,1,내진등급(Ⅱ).내진능력Ⅶ-0170g,율천동,4
5466,경기도 수원시 장안구 율전동 439-2번지,41111,13200,0,439,2,1084112414,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-76 (율전동),,,,,0,4.11E+11,13201,0,26,76,,0,주건축물,222,170.39,76.75,381.07,271.51,122.3,11,벽돌구조,연와조,1000,단독주택,단독주택(4가구),10,(철근)콘크리트,스라브,0,4,9.8,3,1,0,0,0,0,381.07,0,0,0,0,0,0,2,23,19930326,,19960708,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,2
5467,경기도 수원시 장안구 율전동 439-5번지,41111,13200,0,439,5,108414364,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-23 (율전동),,,,,0,4.11E+11,13201,0,26,23,,0,주건축물,221,118.02,53.4,324.72,324.72,146.93,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다가구주택),10,(철근)콘크리트,(철근)콘크리트,0,8,9.76,3,0,0,0,0,0,324.72,0,0,0,0,0,0,2,23,20021112,20030918,20040304,2002,3750002,생활민원과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,율천동,2
5468,경기도 수원시 장안구 율전동 439-6번지,41111,13200,0,439,6,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-33 (율전동),,,,,0,4.11E+11,13201,0,26,33,주건축물제1동,0,주건축물,152,84.29,55.45,295.62,295.62,194.49,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,제2종근린생활시설 및 단독주택,10,(철근)콘크리트,경사지붕,0,1,11.7,4,0,0,0,0,0,295.62,0,0,0,0,0,0,2,23,20110818,20110826,20120111,2011,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,1,,율천동,2
5469,경기도 수원시 장안구 율전동 439-9번지,41111,13200,0,439,9,1084114915,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2126번길 38-13 (율전동),,,,,0,4.11E+11,13201,0,38,13,,0,주건축물,154,76.92,49.95,277.08,200.16,129.97,11,벽돌구조,"조적조,경량철골구조",1000,단독주택,"다가구주택(5가구),창고",90,기타지붕,스라브,0,5,10.65,3,1,0,0,0,0,277.08,0,0,0,0,0,0,1,11.5,19930330,19930407,19940309,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,1
5471,경기도 수원시 장안구 율전동 439-16번지,41111,13200,0,439,16,108417614,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-27 (율전동),,,,,0,4.11E+11,13201,0,26,27,,0,주건축물,156,87.82,56.29,325.04,237.22,152.06,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,단독주택(13가구),10,(철근)콘크리트,평스라브,0,13,10.1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,23,20010427,20010708,20030523,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,2
5472,경기도 수원시 장안구 율전동 439-18번지,41111,13200,0,439,18,1084110299,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-24 (율전동),,,,,0,4.11E+11,13201,0,26,24,,0,주건축물,149,84.43,56.66,325.08,244.35,163.99,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,단독주택(14가구),10,(철근)콘크리트,평스라브,0,14,10.6,3,1,0,0,0,0,0,0,0,0,0,0,0,2,23,20020704,20020826,20021128,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,2
