대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 수원시 영통구 매탄동 101번지,41117,10100,0,0101,0000,10841237003,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 24 (매탄동),,,,,2,411174331020,10101,0,24,,,0,주건축물,791.6,274.73,34.71,274.73,274.73,34.71,32,경량철골구조,"연와조, 조립식판넬",03000,제1종근린생활시설,근생및주택,10,(철근)콘크리트,"슬라브, 조립식판넬",0,2,3.9,1,0,0,0,0,0,274.73,0,0,0,0,0,0,2,23,19900523,        ,19901105,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-2번지,41117,10100,0,0101,0002,10841237004,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 515 (매탄동),,,,,1,411173175016,10101,0,515,,,0,주건축물,938.5,650.62,69.32,1960.25,1960.25,208.87,21,철근콘크리트구조,"철근콘크리트구조,조적조",01000,단독주택,"제1,2종근린생활시설,창고시설",10,(철근)콘크리트,(철근)콘크리트,0,0,20.1,5,1,1,0,0,0,1960.25,0,0,0,0,0,0,16,189.5,19900823,,19910513,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-3번지,41117,10100,0,0101,0003,10841237005,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로513번길 23 (매탄동),,,,,0,411174331021,10101,0,23,0,,0,주건축물,0,160.7,0,529.44,482.1,0,11,벽돌구조,연와조,01000,단독주택,"주택, 제1종근린생활시설",10,(철근)콘크리트,슬라브,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19890826,,19891227,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-4번지,41117,10100,0,0101,0004,10841237006,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 14 (매탄동),,,,,0,411174331020,10101,0,14,0,,0,주건축물,285.8,170.55,59.67,554.75,521.07,182.32,11,벽돌구조,"연와조, 경량철골조, 라멘조",01000,단독주택,"단독주택, 제1종근린생활시설",10,(철근)콘크리트,"슬라브, 경사판넬지붕",0,4,11.6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19890722,19890801,19891128,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-5번지,41117,10100,0,0101,0005,10841237007,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 10 (매탄동),,,,,0,411174331020,10101,0,10,,,0,주건축물,0,149.37,0,477.93,442.17,0,11,벽돌구조,연와조,01000,단독주택,"주택, 제1종근린생활시설",10,(철근)콘크리트,슬라브,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19900116,,19900823,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-6번지,41117,10100,0,0101,0006,10841100310787,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 4-5 (매탄동),,,,,1,411174331020,10101,0,4,5,,0,주건축물,397.2,145.82,36.71,241.5,241.5,60.8,51,일반목구조,일반목구조,01000,단독주택,단독주택(단독주택),90,기타지붕,기타지붕(일반목구조),0,1,11.32,3,0,0,0,0,0,241.5,0,0,0,0,0,0,3,34.5,20131004,20131031,20140922,2013,5610006,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-8번지,41117,10100,0,0101,0008,10841237009,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 511 (매탄동),,,,,0,411173175016,10101,0,511,0,,0,주건축물,288,171.75,59.64,494.25,494.25,171.61,21,철근콘크리트구조,라멘조/조적조,01000,단독주택,"근린생활시설, 주택(10가구)",10,(철근)콘크리트,슬라브,0,10,10.1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,46,19961226,19970426,19970906,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-9번지,41117,10100,0,0101,0009,10841237010,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 513 (매탄동),,,,,0,411173175016,10101,0,513,0,,0,주건축물,325,193.84,59.64,566.44,550.6,169.42,31,일반철골구조,"브럭조, 철골조",04000,제2종근린생활시설,"근린생활시설, 주택",10,(철근)콘크리트,슬라브,0,1,11.5,3,1,0,0,0,0,0,0,0,0,0,0,0,4,46,19890719,,19891101,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-10번지,41117,10100,0,0101,0010,10841237011,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 23 (매탄동),,,,,0,411174331020,10101,0,23,0,,0,주건축물,0,128.76,0,425.34,386.28,0,21,철근콘크리트구조,라멘조,01000,단독주택,"주택, 제1종근린생활시설",10,(철근)콘크리트,슬라브,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19900105,,19900704,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-11번지,41117,10100,0,0101,0011,10841237012,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 21 (매탄동),,,,,0,411174331020,10101,0,21,0,,0,주건축물,0,118.56,0,394.44,355.68,0,11,벽돌구조,연와조,01000,단독주택,"주택, 근린생활시설",10,(철근)콘크리트,슬라브,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19900307,,19901204,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-12번지,41117,10100,0,0101,0012,10841237013,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 15 (매탄동),,,,,0,411174331020,10101,0,15,0,,0,주건축물,0,119.68,0,433.68,350.14,0,11,벽돌구조,"연와조, 철근콘크리트조",01000,단독주택,"주택, 근린생활시설",10,(철근)콘크리트,슬라브,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19900731,,19910624,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-13번지,41117,10100,0,0101,0013,10841237014,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 11 (매탄동),,,,,0,411174331020,10101,0,11,0,,0,주건축물,205.8,118.8,57.73,457.02,419.22,203.7,19,기타조적구조,조적조외2,01000,단독주택,단독주택외2,10,(철근)콘크리트,슬라브외1,0,4,12.9,4,1,0,0,0,0,0,0,0,0,0,0,0,2,23,19900410,,19900922,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-14번지,41117,10100,0,0101,0014,10841237015,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로52번길 21 (매탄동),,,,,0,411174331040,10101,0,21,0,,0,주건축물,0,119.76,0,479.04,359.28,0,21,철근콘크리트구조,"철근콘크리트조, 조적조",01000,단독주택,"단독주택(4가구), 근린생활시설",10,(철근)콘크리트,슬라브,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19900801,,19910208,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-15번지,41117,10100,0,0101,0015,10841237016,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로52번길 19 (매탄동),,,,,0,411174331040,10101,0,19,0,,0,주건축물,0,96.48,0,200.07,183.69,0,11,벽돌구조,연와조,01000,단독주택,주택,10,(철근)콘크리트,슬라브,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19890306,,19890821,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-16번지,41117,10100,0,0101,0016,10841237017,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로68번길 23 (매탄동),주막거리경로당,,,,0,411174331045,10101,0,23,0,,0,주건축물,1616.2,76.62,4.74,130.44,130.44,8.07,11,벽돌구조,연와조,11000,노유자시설,노유자시설(노인정),10,(철근)콘크리트,슬라브,0,0,6.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19931021,19931105,19940302,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-17번지,41117,10100,0,0101,0017,10841237018,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로68번길 9 (매탄동),,,,,0,411174331045,10101,0,9,0,,0,주건축물,205.64,112.38,54.65,315.48,201.66,98.06,11,벽돌구조,연와조,01000,단독주택,"주택, 근린생활시설",10,(철근)콘크리트,스라브위기와,0,3,7.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19890729,19890825,19900207,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-18번지,41117,10100,0,0101,0018,10841100452423,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로68번길 7 (매탄동),매탄동 101-18 단독주택,,,,0,411174331045,10101,0,7,0,주건축물제1동,0,주건축물,199.9,119.85,59.95,358.47,358.47,179.32,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택(다가구주택),90,기타지붕,경사지붕,0,8,14.2,4,0,1,0,0,0,358.47,0,0,0,0,8,100,0,0,20200319,20200406,20200911,2020,5610006,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-19번지,41117,10100,0,0101,0019,10841237020,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로68번길 5 (매탄동),,,,,0,411174331045,10101,0,5,0,,0,주건축물,0,104.72,0,296,186.92,0,11,벽돌구조,연와조,01000,단독주택,주택,10,(철근)콘크리트,슬라브,0,3,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,19881227,,19890530,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-20번지,41117,10100,0,0101,0020,10841237021,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로68번길 1 (매탄동),,,,,0,411174331045,10101,0,1,0,,0,주건축물,179.7,105.81,58.88,423.24,317.43,176.64,21,철근콘크리트구조,"철근콘크리트조, 연와조",01000,단독주택,"주택, 근린생활시설",10,(철근)콘크리트,슬라브,0,4,10.8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19890317,19890401,19890928,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 101-21번지,41117,10100,0,0101,0021,10841237022,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로68번길 2 (매탄동),,,,,0,411174331045,10101,0,2,0,,0,주건축물,0,149.4,0,490.07,448.2,0,11,벽돌구조,연와조,01000,단독주택,"주택[3가구], 근린생활시설",10,(철근)콘크리트,슬라브,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19900321,,19900927,,,,,,0,,0,0,,0,,0,20220909,0,
