대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 수원시 팔달구 팔달로1가 6-4번지,41115,12000,0,0006,0004,10841183199,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 820 (팔달로1가),,,,,0,411153012006,12001,0,820,0,,0,주건축물,715.6,513.55,71.76,2537.35,1489.49,208.15,21,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,평 스라브,0,0,17.1,3,2,1,0,0,0,0,0,0,0,0,22,793.87,0,0,19960222,19960228,19971215,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-1번지,41115,12000,0,0007,0001,10841182218,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 7-15 (팔달로1가),,,,,0,411154328284,12001,0,7,15,,0,주건축물,146.4,115.87,79.15,463.48,347.61,237.44,21,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,"근린생활시설, 위락시설",10,(철근)콘크리트,슬라브,0,0,10.1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19800429,,19801010,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-2번지,41115,12000,0,0007,0002,10841174474,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 818 (팔달로1가),,,,,0,411153012006,12001,0,818,,,0,주건축물,279.3,243.34,87.12,951.14,730.02,261.37,21,철근콘크리트구조,라멘조,04000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19810309,,19810826,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-3번지,41115,12000,0,0007,0003,1000000000000004342198,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 7-13 (팔달로1가),,,,,0,411154328284,12001,0,7,13,주건축물제1동,0,주건축물,109.8,81.78,74.48,311.63,311.63,283.82,21,철근콘크리트구조,철근콘크리트구조,04000,제2종근린생활시설,사무소,10,(철근)콘크리트,(철근)콘크리트,0,0,16.45,5,0,1,0,0,0,311.63,0,0,0,0,2,25,0,0,20240304,20240429,20240913,2024,3770030,건축과,1101,신축허가,0,,0,0,,0,,0,20240919,1,VII-0.170g
경기도 수원시 팔달구 팔달로1가 7-4번지,41115,12000,0,0007,0004,10841169519,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 816 (팔달로1가),,,,,1,411153012006,12001,0,816,0,,0,주건축물,0,72.13,0,72.13,72.13,0,11,벽돌구조,연와조,04000,제2종근린생활시설,근린생활시설,90,기타지붕,"콩크리트즙평가건, 스라부(사무실)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19581210,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-4번지,41115,12000,0,0007,0004,10841169521,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 816 (팔달로1가),,,,,0,411153012006,12001,0,816,0,,0,주건축물,87.9,36,40.96,36,36,40.96,32,경량철골구조,조립식판넬,04000,제2종근린생활시설,근린생활시설,90,기타지붕,조립식판넬,0,0,3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19980813,19980821,19980831,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-4번지,41115,12000,0,0007,0004,10841169518,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 816 (팔달로1가),,,,,0,411153012006,12001,0,816,0,,0,주건축물,87.9,37.72,42.91,37.72,37.72,42.91,11,벽돌구조,시멘트벽돌조,01000,단독주택,주택,20,기와,와즙평가건,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19610315,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-4번지,41115,12000,0,0007,0004,10841169520,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 816 (팔달로1가),,,,,1,411153012006,12001,0,816,0,,0,주건축물,0,11.9,0,11.9,11.9,0,11,벽돌구조,시멘트벽돌조,04000,제2종근린생활시설,사무실,10,(철근)콘크리트,슬라브,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19700519,,19701216,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-6번지,41115,12000,0,0007,0006,10841178564,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 814-1 (팔달로1가),,,,,0,411153012006,12001,0,814,1,,0,주건축물,356.1,186.9,52.49,503.02,413.04,115.99,21,철근콘크리트구조,철근콘크리트조,03000,제1종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19730814,,19731217,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-8번지,41115,12000,0,0007,0008,10841175240,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 5 (팔달로1가),,,,,0,411154328284,12001,0,5,0,,0,주건축물,163,109.35,67.09,328.05,328.05,201.26,31,일반철골구조,철골조,04000,제2종근린생활시설,"제1종근린생활시설, 제2종근린생활시설",10,(철근)콘크리트,평슬라브,0,0,10.95,3,0,0,0,0,0,0,0,0,0,0,0,0,2,23,20010626,20010711,20011030,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-9번지,41115,12000,0,0007,0009,10841170717,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 810 (팔달로1가),,,,,0,411153012006,12001,0,810,0,,0,주건축물,92.9,75.37,81.13,244.58,213.41,229.72,21,철근콘크리트구조,철근콘크리트조,03000,제1종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19630920,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-11번지,41115,12000,0,0007,0011,10841171405,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 812 (팔달로1가),,,,,1,411153012006,12001,0,812,,,0,주건축물,409.6,287.18,70.11,1661.6,1391.8,339.79,21,철근콘크리트구조,철근콘크리트구조,11000,노유자시설,노유자시설(노인복지시설),10,(철근)콘크리트,(철근)콘크리트 슬라브,0,0,21.8,6,1,1,0,0,0,1661.6,0,0,0,0,0,0,1,16.5,19860328,,19861125,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 7-12번지,41115,12000,0,0007,0012,10841187728,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 814 (팔달로1가),,,,,0,411153012006,12001,0,814,0,,0,주건축물,81.7,68.03,83.27,127.67,127.67,156.27,21,철근콘크리트구조,철근콘크리트조,01000,단독주택,"근린생활시설, 주택",10,(철근)콘크리트,슬라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19711130,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 8-2번지,41115,12000,0,0008,0002,10841187942,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 18 (팔달로1가),,,,,0,411154328344,12001,0,18,0,,0,주건축물,105.8,94.21,89.05,285.605,279.855,264.51,21,철근콘크리트구조,콘크리트.라멘조,04000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,8.6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19700519,,19701029,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 8-3번지,41115,12000,0,0008,0003,10841100344080,2,집합,3,표제부,경기도 수원시 팔달구 창룡대로8번길 22 (팔달로1가),하늘미소,,,,0,411154328344,12001,0,22,,하늘미소,0,주건축물,523.6,298.86,57.08,999.97,999.97,190.98,21,철근콘크리트구조,철근콘크리트구조,02000,공동주택,"연립주택, 오피스텔",10,(철근)콘크리트,경사지붕,14,0,14.9,5,0,1,0,0,0,999.97,0,0,0,0,2,23,13,150,20151016,20151021,20160420,2015,3770030,건축과,1101,신축허가,2,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 8-4번지,41115,12000,0,0008,0004,10841180091,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 24 (팔달로1가),,,,,0,411154328344,12001,0,24,,,0,주건축물,0,107.87,0,357.23,318.22,0,21,철근콘크리트구조,라멘조,01000,단독주택,"주택, 근린생활시설",10,(철근)콘크리트,슬라브,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19770914,,19780221,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 8-7번지,41115,12000,0,0008,0007,10841100354141,1,일반,2,일반건축물,,,,,,0,,,0,0,0,,0,주건축물,191.7,6.51,3.4,6.51,6.51,3.4,32,경량철골구조,경량철골구조,04000,제2종근린생활시설,제2종근린생활시설,20,기와,경사지붕,0,0,3.7,1,0,0,0,0,0,6.51,0,0,0,0,0,0,0,0,20140901,20160908,20161012,2014,3770030,건축과,1201,신축신고,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 8-8번지,41115,12000,0,0008,0008,10841179518,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 28 (팔달로1가),,,,,1,411154328344,12001,0,28,,,0,주건축물,323.9,215.88,66.65,844.64,671.76,207.4,21,철근콘크리트구조,"철근콘크리트조, 경량철골조",01000,단독주택,"단독주택[18가구], 제2종근린생활시설",10,(철근)콘크리트,평슬라브,0,18,12.1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,69,20010521,20010522,20011116,,,,,,1,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 8-9번지,41115,12000,0,0008,0009,10841187487,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,75.57,0,75.57,75.57,0,51,일반목구조,목조,04000,제2종근린생활시설,대중음식점,20,기와,"와즙평가건, 스렛트평가건",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19571210,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 8-15번지,41115,12000,0,0008,0015,10841100275848,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 7-6 (팔달로1가),수원노블요양병원,,,,0,411154328284,12001,0,7,6,,0,주건축물,329.9,36.63,11.1,36.63,36.63,11.1,11,벽돌구조,벽돌구조,20000,자동차관련시설,자동차관련시설(주차장),90,기타지붕,기타지붕(경사지붕),0,0,10.9,3,0,0,0,0,0,36.63,8,36.63,0,0,0,0,7,81.5,20130108,,20130411,2013,3770030,건축과,1201,신축신고,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 8-17번지,41115,12000,0,0008,0017,10841174560,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 7-4 (팔달로1가),,,,,0,411154328284,12001,0,7,4,,0,주건축물,147.1,115.11,78.25,313.97,292.25,198.67,11,벽돌구조,"연와조, 시멘트블록조",15000,숙박시설,"숙박시설, 단독주택",10,(철근)콘크리트,슬라브,0,1,8.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19780314,,19781026,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 9-1번지,41115,12000,0,0009,0001,10841171729,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 34 (팔달로1가),,,,,0,411154328344,12001,0,34,,,0,주건축물,449.6,354.98,78.95,1062.06,709.96,157.91,21,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,"근린생활시설,위락시설",90,기타지붕,"슬라브,판넬지붕",0,0,7.9,2,1,0,0,0,0,1062.06,0,0,0,0,0,0,1,11.5,19800906,,19801216,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 9-2번지,41115,12000,0,0009,0002,10841172147,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 8 (팔달로1가),,,,,0,411154328284,12001,0,8,0,,0,주건축물,520.7,357.83,68.72,1707.09,1388.67,266.69,21,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,"숙박시설,여관",10,(철근)콘크리트,(철근)콘크리트,0,0,14,5,1,1,0,0,0,1434.75,0,0,0,0,11,272.34,0,0,20030906,20031014,20040727,2003,3770030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 9-3번지,41115,12000,0,0009,0003,10841173927,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 36-10 (팔달로1가),,,,,0,411154328344,12001,0,36,10,,0,주건축물,0,153.71,0,490.88,425.68,0,21,철근콘크리트구조,"철근콘크리트조, 시멘트벽돌조",03000,제1종근린생활시설,"목욕탕, 주택",10,(철근)콘크리트,슬라브,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19830311,,19831115,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 10-2번지,41115,12000,0,0010,0002,10841176905,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로800번길 7 (팔달로1가),,,,,0,411154328281,12001,0,7,0,,0,주건축물,325,231.37,71.19,917.38,685.11,210.8,21,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19870309,,19870903,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 10-3번지,41115,12000,0,0010,0003,10841187296,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로800번길 11 (팔달로1가),,,,,1,411154328281,12001,0,11,,,0,주건축물,287,158.53,55.24,389.71,389.71,135.79,11,벽돌구조,"연와조, 라멘조, 시멘트벽돌조",01000,단독주택,"단독주택(4가구),근린생활시설",90,기타지붕,"슬라브, 경량판넬",0,4,8.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19641119,,,,,,2,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 10-5번지,41115,12000,0,0010,0005,10841174208,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로800번길 15 (팔달로1가),용성통닭,,,,0,411154328281,12001,0,15,0,,0,주건축물,132.5,117.42,88.62,459.63,352.26,265.86,21,철근콘크리트구조,라멘조,03000,제1종근린생활시설,"근린생활시설, 단독주택",10,(철근)콘크리트,슬라브,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19791004,,19811002,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 11-1번지,41115,12000,0,0011,0001,10841169365,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 6 (팔달로1가),,,,,0,411154328284,12001,0,6,0,,0,주건축물,116.4,94.23,80.95,355.64,267.26,229.6,21,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,12.9,3,1,0,0,0,0,0,0,0,0,0,2,30.93,0,0,19931016,19940407,19940927,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 11-2번지,41115,12000,0,0011,0002,10841181324,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로800번길 7-15 (팔달로1가),,,,,0,411154328281,12001,0,7,15,,0,주건축물,133.2,90.55,67.98,171.54,171.54,128.78,51,일반목구조,목조,04000,제2종근린생활시설,근린생활시설,20,기와,와즙이층건,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19570515,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 11-5번지,41115,12000,0,0011,0005,10841174281,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 802 (팔달로1가),,,,,0,411153012006,12001,0,802,,,0,주건축물,618.2,443.5,71.74,1982.07,1774,286.96,21,철근콘크리트구조,라멘조,10000,교육연구시설,"관람집회시설, 교육연구및복지시설, 근린생활시설",10,(철근)콘크리트,슬라브,0,0,14.9,4,1,0,0,0,0,1982.07,0,0,0,0,0,0,0,0,19780306,,19780930,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 11-7번지,41115,12000,0,0011,0007,10841180582,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 804 (팔달로1가),,,,,0,411153012006,12001,0,804,,,0,주건축물,596.4,454.23,76.16,3095.34,2242.72,376.04,21,철근콘크리트구조,철근콘크리트조,14000,업무시설,"업무시설, 근린생활시설, 노유자시설",10,(철근)콘크리트,슬라브,0,0,0,7,2,0,0,0,0,3095.34,0,0,0,0,0,0,0,0,19860210,,19870904,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 11-8번지,41115,12000,0,0011,0008,10841187362,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 806 (팔달로1가),수원이안과빌딩,,,,0,411153012006,12001,0,806,,,0,주건축물,358.3,228.14,63.67,1368.84,1177.9,328.75,21,철근콘크리트구조,철근콘크리트조,03000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,슬라브,0,0,22.4,6,0,1,0,0,0,0,0,0,0,0,8,190.94,0,0,20011109,20011122,20020520,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 11-9번지,41115,12000,0,0011,0009,10841185272,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 808 (팔달로1가),,,,,1,411153012006,12001,0,808,0,,0,주건축물,0,204.43,0,997.99,805.03,0,21,철근콘크리트구조,라멘조,04000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19800829,,19810313,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 11-10번지,41115,12000,0,0011,0010,10841168457,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 808-1 (팔달로1가),,,,,0,411153012006,12001,0,808,1,,0,주건축물,0,255.47,0,971.77,759.9,0,21,철근콘크리트구조,라멘조,04000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19800429,,19810313,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 12-1번지,41115,12000,0,0012,0001,10841185753,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로800번길 6 (팔달로1가),,,,,1,411154328281,12001,0,6,,,0,주건축물,157.7,124.33,78.84,669.76,545.43,345.87,21,철근콘크리트구조,라멘조,04000,제2종근린생활시설,"판매시설, 위락시설",10,(철근)콘크리트,슬라브,0,0,0,5,1,0,0,0,0,669.76,0,0,0,0,0,0,0,0,19800512,,19801125,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 12-3번지,41115,12000,0,0012,0003,10841100331670,2,집합,3,표제부,경기도 수원시 팔달구 정조로 800-3 (팔달로1가),,,,,0,411153012006,12001,0,800,3,,0,주건축물,259.2,174.6,67.36,818.77,818.77,315.88,21,철근콘크리트구조,철근콘크리트구조,02000,공동주택,"도시형생활주택 원룸형, 다세대주택, 근린생활시설",10,(철근)콘크리트,(철근)콘크리트,11,0,17.9,6,0,1,0,0,0,818.77,0,0,0,0,7,80.5,1,11.5,20130611,20150610,20150827,2013,3770030,건축과,1101,신축허가,2,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 12-5번지,41115,12000,0,0012,0005,10841171401,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로800번길 2 (팔달로1가),,,,,0,411154328281,12001,0,2,,,0,주건축물,155,120.66,77.85,551.07,447.27,288.56,21,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19700429,,19710515,,,,,,0,,0,0,,0,,0,20220909,0,
