,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동,주차면수합
5949,경기도 수원시 권선구 고색동 3-4번지,41113,12800,0,3,4,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 서둔로 38 (고색동),,,,,0,4.11E+11,12801,0,38,,,0,주건축물,495,190.76,38.54,381.52,381.52,77.07,31,일반철골구조,일반철골조,4000,제2종근린생활시설,제2종근린생활시설,90,기타지붕,평스라브,0,0,11.2,2,0,0,0,0,0,381.52,0,0,0,0,0,0,3,34.5,20130312,20130402,20130723,2013,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,평동,3
5950,경기도 수원시 권선구 고색동 4-1번지,41113,12800,0,4,1,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 서둔로 34 (고색동),,,,,0,4.11E+11,12801,0,34,0,,0,주건축물,278,109.6,39.42,277.8,277.8,99.93,31,일반철골구조,일반철골구조,3000,제1종근린생활시설,제1종근린생활시설(소매점),90,기타지붕,경사지붕,0,0,12,3,0,0,0,0,0,277.8,0,0,0,0,0,0,2,23,20160226,20160322,20160715,2016,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,1,,평동,2
5953,경기도 수원시 권선구 고색동 5-1번지,41113,12800,0,5,1,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 서둔로 20 (고색동),,,,,0,4.11E+11,12801,0,20,,,0,주건축물,598,238.4,39.866,476.8,476.8,79.73,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,근린생활시설,90,기타지붕,기타지붕,0,0,10.6,2,0,0,0,0,0,476.8,0,0,0,0,0,0,4,46,20130207,20131218,20140526,2013,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,평동,4
5954,경기도 수원시 권선구 고색동 5-7번지,41113,12800,0,5,7,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 서둔로 24 (고색동),하늘성교회,,,,0,4.11E+11,12801,0,24,,,0,주건축물,496,197.4,39.8,568.74,371.34,74.87,21,철근콘크리트구조,철근콘크리트구조,6000,종교시설,종교시설/단독주택,10,(철근)콘크리트,(철근)콘크리트,0,1,11.42,2,1,1,0,0,0,568.74,0,0,0,0,0,0,5,57.5,20110729,20110817,20120517,2011,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,평동,5
5955,경기도 수원시 권선구 고색동 6-2번지,41113,12800,0,6,2,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 서둔로 18-1 (고색동),,,,,1,4.11E+11,12801,0,18,1,제2동,0,주건축물,0,117,0,234,234,0,31,일반철골구조,일반철골조,4000,제2종근린생활시설,제2종근린생활시설,90,기타지붕,기타지붕,0,0,9.8,2,0,0,0,0,0,234,0,0,0,0,0,0,4,47,20110506,20120606,20130913,2012,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,평동,4
5967,경기도 수원시 권선구 고색동 7-17번지,41113,12800,0,7,17,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 권선로 308-12 (고색동),,,,,0,4.11E+11,12803,0,308,12,,0,주건축물,851,169.47,19.91,338.94,338.94,39.83,31,일반철골구조,일반철골구조,3000,제1종근린생활시설,제1종근린생활시설외1,10,(철근)콘크리트,평스라브,0,0,9.6,2,0,0,0,0,0,338.94,0,0,0,0,0,0,4,46,20080730,20080810,20090220,2008,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,평동,4
5968,경기도 수원시 권선구 고색동 7-19번지,41113,12800,0,7,19,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 평동로9번길 109 (고색동),거산그린물류센터,,,,0,4.11E+11,12801,0,109,,,0,주건축물,299,59.13,19.78,118.26,118.26,39.55,31,일반철골구조,일반철골구조,3000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,(철근)콘크리트,0,0,9.4,2,0,0,0,0,0,118.26,0,0,0,0,0,0,1,11.5,20150420,20150504,20150630,2015,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,평동,1
5969,경기도 수원시 권선구 고색동 7-27번지,41113,12800,0,7,27,1.08E+13,2,집합,3,표제부,경기도 수원시 권선구 평동로9번길 59 (고색동),,,,,1,4.11E+11,12801,0,59,,,0,주건축물,2447,966.4,39.49,4063.24,2378.98,97.22,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,제2종근린생활시설외2,10,(철근)콘크리트,평스라브,0,0,12.8,3,1,0,0,0,0,4063.24,0,0,0,0,20,921.66,11,131.5,20070516,20070618,20080303,2007,3740058,건축과,1101,신축허가,43,,0,0,,0,,0,20220909,0,,평동,31
5971,경기도 수원시 권선구 고색동 7-29번지,41113,12800,0,7,29,1084189339,1,일반,2,일반건축물,경기도 수원시 권선구 평동로9번길 49 (고색동),,,,,0,4.11E+11,12801,0,49,,,0,주건축물,661,661,19.64,199.66,199.66,30.21,19,기타조적구조,조적조,1000,단독주택,주택,10,(철근)콘크리트,스라브,0,2,7.7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19950530,19950609,19950928,,,,,,0,,0,0,,0,,0,20220909,0,,평동,1
5975,경기도 수원시 권선구 고색동 7-35번지,41113,12800,0,7,35,1084190010,1,일반,2,일반건축물,경기도 수원시 권선구 평동로9번길 29-9 (고색동),고색동 7-35 제1종근린생활시설 (이병길),,,,0,4.11E+11,12801,0,29,9,,0,주건축물,438,107.4,24.52,209.3,209.3,47.79,21,철근콘크리트구조,철근콘크리트구조,3000,제1종근린생활시설,소매점,10,(철근)콘크리트,(철근)콘크리트,0,0,7.55,2,0,0,0,0,0,209.3,0,0,0,0,0,0,3,34.5,20050525,20050530,20051222,2005,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,평동,3
