대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동
경기도 수원시 팔달구 인계동 1115-14번지,41115,14100,0,1115,14,10841182513.0,1,일반,2,일반건축물,경기도 수원시 팔달구 인계로166번길 24 (인계동),호텔 버틀러,,,,0,411154000000.0,14101.0,0.0,24.0,0.0,,0,주건축물,443.0,276.3,62.37,2042.64,1670.47,377.08,21,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,"숙박시설,근린생활시설",10.0,(철근)콘크리트,(철근)콘크리트,0,0,22.2,7,1,1,0,0,0.0,2064.52,0,0.0,0,0.0,10,512.75,2,23.0,20021022,20021123,20051216,2002,3740058.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-15번지,41115,14100,0,1115,15,10841178828.0,1,일반,2,일반건축물,경기도 수원시 팔달구 인계로166번길 26 (인계동),,,,,0,411154000000.0,14101.0,0.0,26.0,0.0,,0,주건축물,0.0,214.83,0.0,231.03,214.83,0.0,11,벽돌구조,연와조,4000,제2종근린생활시설,대중음식점,10.0,(철근)콘크리트,슬라브,0,0,0.0,1,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19900605,,19901101,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-18번지,41115,14100,0,1115,18,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 27 (인계동),,,,,0,411154000000.0,14101.0,0.0,27.0,,,0,주건축물,474.2,341.07,71.93,606.65,606.65,127.93,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,제2종근린생활시설(일반음식점),90.0,기타지붕,기타지붕,0,0,12.3,3,0,0,0,0,0.0,606.65,0,0.0,0,0.0,2,23.0,2,23.0,20180427,20180510,20180912,2018,3770030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,1.0,VII-0.169g,인계동
경기도 수원시 팔달구 인계동 1115-19번지,41115,14100,0,1115,19,10841184808.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 21 (인계동),,,,,0,411154000000.0,14101.0,0.0,21.0,0.0,,0,주건축물,506.6,400.45,79.05,2982.28,2291.92,452.41,21,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,"숙박시설,위락시설",10.0,(철근)콘크리트,(철근)콘크리트,0,0,23.0,7,1,1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,19,646.88,20020614,20030307,20031107,2002,3740058.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-20번지,41115,14100,0,1115,20,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 17-6 (인계동),,,,,0,411154000000.0,14101.0,0.0,17.0,6.0,,0,주건축물,481.4,365.99,76.03,933.4,933.4,193.89,21,철근콘크리트구조,철근콘크리트구조,3000,제1종근린생활시설,제1종근린생활시설(소매점),10.0,(철근)콘크리트,평지붕,0,0,16.8,4,0,1,0,0,0.0,933.4,0,0.0,0,0.0,6,120.0,0,0.0,20180508,20180521,20181101,2018,3770030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,1.0,Ⅶ-0.176g,인계동
경기도 수원시 팔달구 인계동 1115-21번지,41115,14100,0,1115,21,10841167578.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 17-10 (인계동),,,,,0,411154000000.0,14101.0,0.0,17.0,10.0,나동,0,주건축물,0.0,183.38,0.0,183.38,183.38,0.0,32,경량철골구조,경량철골조,20000,자동차관련시설,자동차관련시설,90.0,기타지붕,철골조,0,0,5.3,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,11.5,20030331,20030414,20030425,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-21번지,41115,14100,0,1115,21,10841167579.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 17-10 (인계동),,,,,0,411154000000.0,14101.0,0.0,17.0,10.0,가동,0,주건축물,0.0,161.5,0.0,161.5,161.5,0.0,19,기타조적구조,조적조,20000,자동차관련시설,자동차관련시설,10.0,(철근)콘크리트,슬라브,0,0,5.3,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19900226,,19900530,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-22번지,41115,14100,0,1115,22,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 17-14 (인계동),,,,,0,411154000000.0,14101.0,0.0,17.0,14.0,,0,주건축물,480.6,77.0,16.02,204.05,204.05,42.46,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,근린생활시설,90.0,기타지붕,판넬,0,0,11.23,3,0,0,0,0,0.0,204.5,0,0.0,0,0.0,0,0.0,2,23.0,20070530,20070828,20080312,2007,3770030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-23번지,41115,14100,0,1115,23,10841178921.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 17-18 (인계동),,,,,0,411154000000.0,14101.0,0.0,17.0,18.0,,0,주건축물,480.2,412.92,85.99,1948.82,1604.075,334.04,21,철근콘크리트구조,"철근콘크리트조, 경량철골조",4000,제2종근린생활시설,"근린생활시설, 숙박시설, 위락시설",10.0,(철근)콘크리트,"경사슬라브위아스팔트슁글, 망입유리",0,0,22.7,5,1,1,0,0,0.0,0.0,5,0.0,0,0.0,12,0.0,0,0.0,19990417,19990521,19991117,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-24번지,41115,14100,0,1115,24,10841177373.0,1,일반,2,일반건축물,경기도 수원시 팔달구 인계로166번길 16-7 (인계동),,,,,0,411154000000.0,14101.0,0.0,16.0,7.0,,0,주건축물,0.0,219.5,0.0,242.0,219.5,0.0,19,기타조적구조,조적조,4000,제2종근린생활시설,대중음식점,10.0,(철근)콘크리트,슬라브,0,0,0.0,1,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19900404,,19900623,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
