,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동,주차면수합
362,경기도 수원시 팔달구 팔달로3가 102-7번지,41115,12200,0,102,7,10841176926,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 775-10 (팔달로3가),,,,,0,4.11E+11,12203,0,775,10,,0,주건축물,144.27,115.19,79.84,416.65,312.5,216.61,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,10.2,3,1,0,0,0,0,0,0,0,0,0,2,38.71,0,0,19920710,19920715,19921222,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,2
366,경기도 수원시 팔달구 팔달로3가 103-10번지,41115,12200,0,103,10,10841176020,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로62번길 24-42 (팔달로3가),,,,,1,4.11E+11,12201,0,24,42,,0,주건축물,424,182.38,43.01,295.18,295.18,69.62,21,철근콘크리트구조,"철근콘크리트조, 조적조",4000,제2종근린생활시설,"제1종근린생활시설, 단독주택",10,(철근)콘크리트,철근콘크리트조,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,3,34.5,19970604,19970613,20010313,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,3
370,경기도 수원시 팔달구 팔달로3가 103-34번지,41115,12200,0,103,34,10841187748,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로62번길 22-3 (팔달로3가),,,,,0,4.11E+11,12201,0,22,3,,0,주건축물,225,95.71,42.53,276.12,174.73,78.05,11,벽돌구조,연와조,1000,단독주택,단독주택(다가구주택-4가구),10,(철근)콘크리트,슬라브,0,4,6.5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19920328,19920913,19930820,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,1
371,경기도 수원시 팔달구 팔달로3가 103-35번지,41115,12200,0,103,35,10841187403,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로62번길 22-5 (팔달로3가),,,,,0,4.11E+11,12201,0,22,5,,0,주건축물,212,95.71,45.14,277.02,175.63,82.84,11,벽돌구조,연와조,1000,단독주택,주택(4가구),10,(철근)콘크리트,,0,4,6.5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19920328,19920417,19930826,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,1
375,경기도 수원시 팔달구 팔달로3가 103-47번지,41115,12200,0,103,47,1.08E+13,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로62번길 22-1 (팔달로3가),,,,,0,4.11E+11,12201,0,22,1,,0,주건축물,208.74,108.15,51.81,277.4,173.45,83.09,19,기타조적구조,연와조,1000,단독주택,다가구주택(3가구),10,(철근)콘크리트,아스팔트슁글,0,3,8.7,2,1,0,0,0,0,277.4,0,0,0,0,0,0,1,11.5,19920330,19920430,20140521,2014,3770030,건축과,5701,특정건축물(신축),0,,0,0,,0,,0,20220909,0,,행궁동,1
376,경기도 수원시 팔달구 팔달로3가 103-49번지,41115,12200,0,103,49,10841182916,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로62번길 26 (팔달로3가),,,,,1,4.11E+11,12201,0,26,0,,0,주건축물,243,120.54,49.6,255.57,255.57,105.57,19,기타조적구조,조적조,1000,단독주택,다가구주택(3가구),10,(철근)콘크리트,경사슬라브,0,3,9.2,3,0,0,0,0,0,0,0,0,0,0,1,19.8,0,0,19920331,19920501,19990626,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,1
377,경기도 수원시 팔달구 팔달로3가 103-52번지,41115,12200,0,103,52,10841180034,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로62번길 28 (팔달로3가),,,,,1,4.11E+11,12201,0,28,0,,0,주건축물,248.56,102.12,41.08,232.38,168.54,67.8,11,벽돌구조,연와조(조적조),1000,단독주택,다가구주택(3가구),10,(철근)콘크리트,슬라브,0,3,6.5,2,1,0,0,0,0,0,0,0,0,0,1,16.5,0,0,19920401,19920917,19930205,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,1
378,경기도 수원시 팔달구 팔달로3가 103-53번지,41115,12200,0,103,53,10841177756,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로62번길 30 (팔달로3가),,,,,1,4.11E+11,12201,0,30,0,,0,주건축물,244,126.78,51.96,274.2,166.2,68.11,11,벽돌구조,연와조,1000,단독주택,다가구주택(8가구),10,(철근)콘크리트,슬라브,0,8,6.8,2,1,0,0,0,0,0,0,0,0,0,0,0,2,23,19920331,19930623,19950610,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,2
403,경기도 수원시 팔달구 팔달로3가 116-7번지,41115,12200,0,116,7,1.00E+21,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로62번길 27 (팔달로3가),안유재,,,,0,4.11E+11,12201,0,27,0,,0,주건축물,167.4,73.5,43.91,177.07,177.07,105.78,51,일반목구조,일반목구조,1000,단독주택,단독주택,20,기와,점토기와,0,1,11.77,3,0,0,0,0,0,177.07,0,0,0,0,0,0,1,12.5,20211119,20220302,20221209,2021,3770030,건축과,1101,신축허가,0,,0,0,,0,,0,20221209,1,Ⅶ-0.185g,행궁동,1
416,경기도 수원시 팔달구 팔달로3가 121번지,41115,12200,0,121,0,10841177597,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로 74 (팔달로3가),,,,,0,4.11E+11,12202,0,74,,,0,주건축물,463,262.88,56.77,1076.72,788.64,170.33,31,일반철골구조,철골조,4000,제2종근린생활시설,"근린생활시설, 주차장",10,(철근)콘크리트,평스라브,0,0,7.95,3,1,0,0,0,0,0,0,0,0,0,0,0,6,69,19940725,199409,19950711,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,6
419,경기도 수원시 팔달구 팔달로3가 124-1번지,41115,12200,0,124,1,1.08E+13,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로 80 (팔달로3가),,,,,0,4.11E+11,12202,0,80,,,0,주건축물,1020,274.18,26.88,262.93,262.93,25.78,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,"제1,2종근린생활시설",90,기타지붕,기타지붕,0,0,6.6,1,0,0,0,0,0,262.93,0,0,0,0,0,0,2,23,20090730,20110701,20111226,2009,3770030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,행궁동,2
421,경기도 수원시 팔달구 팔달로3가 126-3번지,41115,12200,0,126,3,10841179605,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로62번길 39 (팔달로3가),,,,,0,4.11E+11,12201,0,39,0,,0,주건축물,135,76.19,56.43,301.51,225.32,166.9,19,기타조적구조,"조적조, 철근콘크리트조",1000,단독주택,단독주택[6가구],10,(철근)콘크리트,콘크리트평슬라브,0,6,9,3,1,0,0,0,0,0,0,0,0,0,2,30.79,0,0,19950413,19950526,20001123,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,2
425,경기도 수원시 팔달구 팔달로3가 126-8번지,41115,12200,0,126,8,10841185512,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로 76-14 (팔달로3가),,,,,0,4.11E+11,12202,0,76,14,,0,주건축물,496,186.45,37.59,331.53,310.84,62.67,11,벽돌구조,"연와조, 조적조",4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19760226,,19760729,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,1
