대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동
경기도 수원시 권선구 권선동 956-15번지,41113,13700,0,956,15,1084197670.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-17 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,17.0,,0,주건축물,0.0,91.2,0.0,0.0,164.49,0.0,11.0,벽돌구조,연와조,01000,단독주택,주택,20.0,기와,스라브 위 기와,0,2,0.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19871005,,19880408,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 956-16번지,41113,13700,0,956,16,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-19 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,19.0,,0,주건축물,214.6,128.4,59.83,446.58,446.58,208.1,21.0,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택,10.0,(철근)콘크리트,징크마감,0,6,16.2,5,0,1,0,0,0.0,446.58,0,0.0,0,0.0,0,0.0,7,80.5,20180424,20180723,20190326,2018.0,3760030.0,건축과,1101.0,신축허가,2,,0.0,0.0,,0.0,,0,20220909,1.0,Ⅶ-0.170,권선1동
경기도 수원시 권선구 권선동 956-17번지,41113,13700,0,956,17,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로126번길 44 (권선동),기경빌,,,,0,411134000000.0,13701.0,0,44.0,0.0,,0,주건축물,278.5,165.65,59.48,661.15,661.15,237.4,21.0,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택,10.0,(철근)콘크리트,(철근)콘크리트,0,7,15.6,5,0,1,0,0,0.0,661.15,0,0.0,0,0.0,0,0.0,8,92.0,20181224,20190313,20190813,2018.0,3760030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,1.0,Ⅶ-0.170g,권선1동
경기도 수원시 권선구 권선동 956-18번지,41113,13700,0,956,18,1084186611.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-5 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,5.0,,0,주건축물,0.0,87.6,0.0,0.0,156.84,0.0,11.0,벽돌구조,연와조,01000,단독주택,주택,10.0,(철근)콘크리트,스라브,0,2,0.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19860916,,19861121,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957번지,41113,13700,0,957,0,10841100000000.0,2,집합,3,표제부,경기도 수원시 권선구 장다리로 131 (권선동),그랜드 스위트,,,,0,411133000000.0,13702.0,0,131.0,,그랜드 스위트,0,주건축물,1013.0,581.45,57.4,3108.22,2304.92,227.53,21.0,철근콘크리트구조,철근콘크리트구조,04000,제2종근린생활시설,"제1,2종근린생활시설, 공동주택",10.0,(철근)콘크리트,(철근)콘크리트,24,0,21.1,5,1,2,0,0,0.0,3108.22,0,0.0,0,0.0,27,720.33,4,75.2,20181204,20190318,20200115,2018.0,3740282.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,1.0,Ⅶ 등급-0.1698 g,권선1동
경기도 수원시 권선구 권선동 957-2번지,41113,13700,0,957,2,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-20 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,20.0,,0,주건축물,119.9,71.82,59.9,136.08,136.08,113.49,32.0,경량철골구조,경량철골구조,01000,단독주택,단독주택,90.0,기타지붕,기타지붕,0,1,7.7,2,0,0,0,0,0.0,136.08,0,0.0,0,0.0,0,0.0,1,11.5,20120207,20120216,20120412,2012.0,3760030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957-3번지,41113,13700,0,957,3,10841100000000.0,2,집합,3,표제부,경기도 수원시 권선구 세지로112번길 49-16 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,16.0,,0,주건축물,280.0,163.28,58.31,560.83,560.83,200.3,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,공동주택(도시형생활주택-원룸형),10.0,(철근)콘크리트,(철근)콘크리트,15,0,14.4,5,0,1,0,0,0.0,560.83,0,0.0,0,0.0,9,0.0,0,0.0,20151211,20160104,20160615,2015.0,3760030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,1.0,,권선1동
경기도 수원시 권선구 권선동 957-4번지,41113,13700,0,957,4,1084187543.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-14 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,14.0,,0,주건축물,0.0,74.88,0.0,0.0,138.81,0.0,11.0,벽돌구조,연와조,01000,단독주택,주택,10.0,(철근)콘크리트,평스라브,0,2,0.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19860314,,19860724,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957-5번지,41113,13700,0,957,5,1084188971.0,2,집합,3,표제부,경기도 수원시 권선구 세지로112번길 49-12 (권선동),영진빌라,,,,0,411134000000.0,13701.0,0,49.0,12.0,,0,주건축물,244.7,91.56,37.42,329.44,255.0,104.21,11.0,벽돌구조,연와조,02000,공동주택,다세대주택,10.0,(철근)콘크리트,스라브,8,0,10.46,3,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19900306,,19900831,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957-6번지,41113,13700,0,957,6,1084187238.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-10 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,10.0,,0,주건축물,0.0,67.08,0.0,0.0,128.83,0.0,11.0,벽돌구조,연와조,01000,단독주택,주택,20.0,기와,평스라브 위 기와,0,2,0.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19870819,,19871214,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957-7번지,41113,13700,0,957,7,1084196312.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-6 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,6.0,,0,주건축물,0.0,106.94,0.0,0.0,194.87,0.0,11.0,벽돌구조,연와조,01000,단독주택,주택,10.0,(철근)콘크리트,스라브,0,3,0.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19880216,,19880516,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957-8번지,41113,13700,0,957,8,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-4 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,4.0,,0,주건축물,275.7,163.58,59.33,616.23,616.23,223.51,21.0,철근콘크리트구조,철근콘크리트구조,04000,제2종근린생활시설,제2종근린생활시설,10.0,(철근)콘크리트,(철근)콘크리트,0,0,13.3,4,0,1,0,0,0.0,616.23,0,0.0,0,0.0,1,17.35,4,46.0,20110620,20110721,20120424,2011.0,3760030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,1.0,,권선1동
경기도 수원시 권선구 권선동 957-9번지,41113,13700,0,957,9,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 권선구 장다리로 121 (권선동),,,,,0,411133000000.0,13702.0,0,121.0,,,0,주건축물,279.2,166.78,59.73,640.9,640.9,229.55,21.0,철근콘크리트구조,RC+벽식,04000,제2종근린생활시설,제2종근린생활시설외2,10.0,(철근)콘크리트,(철근)콘크리트,0,1,14.75,4,0,1,0,0,0.0,640.9,0,0.0,0,0.0,1,11.5,4,46.0,20060711,20080626,20090821,2006.0,3760030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957-10번지,41113,13700,0,957,10,1084189220.0,2,집합,3,표제부,경기도 수원시 권선구 장다리로 123 (권선동),,,,,0,411133000000.0,13702.0,0,123.0,0.0,,0,주건축물,0.0,109.05,0.0,327.15,218.1,0.0,11.0,벽돌구조,연와조,02000,공동주택,다세대주택,10.0,(철근)콘크리트,스라브,6,0,0.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19870916,,19880420,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957-11번지,41113,13700,0,957,11,1084194810.0,1,일반,2,일반건축물,경기도 수원시 권선구 장다리로 125 (권선동),,,,,0,411133000000.0,13702.0,0,125.0,0.0,,0,주건축물,223.9,134.01,59.85,436.44,436.44,194.93,21.0,철근콘크리트구조,철근콘크리트구조,04000,제2종근린생활시설,제2종근린생활시설외2,10.0,(철근)콘크리트,(철근)콘크리트,0,0,14.18,4,0,0,0,0,0.0,436.44,0,0.0,0,0.0,0,0.0,3,34.5,20060112,20060201,20060605,2006.0,3760030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957-12번지,41113,13700,0,957,12,1084197090.0,1,일반,2,일반건축물,경기도 수원시 권선구 장다리로 125-1 (권선동),,,,,0,411133000000.0,13702.0,0,125.0,1.0,,0,주건축물,258.3,130.18,50.4,308.28,190.44,73.72,11.0,벽돌구조,연와조,01000,단독주택,단독주택 외1,10.0,(철근)콘크리트,스라브,0,4,7.4,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,2,23.0,19880914,,19890812,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957-13번지,41113,13700,0,957,13,1084192972.0,1,일반,2,일반건축물,경기도 수원시 권선구 장다리로 127 (권선동),,,,,0,411133000000.0,13702.0,0,127.0,0.0,,0,주건축물,160.0,94.92,59.32,276.75,276.75,172.96,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,"제2종근린생활시설, 단독주택",10.0,(철근)콘크리트,스라브,0,1,10.2,3,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,2,23.0,20010320,20010331,20010720,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 957-14번지,41113,13700,0,957,14,1084191908.0,1,일반,2,일반건축물,경기도 수원시 권선구 장다리로 129 (권선동),,,,,0,411133000000.0,13702.0,0,129.0,0.0,,0,주건축물,160.0,86.86,54.29,86.86,86.86,54.29,32.0,경량철골구조,조립식경량철골조,03000,제1종근린생활시설,근린생활시설,10.0,(철근)콘크리트,,0,0,4.4,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19950610,19950626,19950907,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
